Growth_phase,Strain,Length_px,Length
earlylog,cdrS,46.043457,6.1391276
earlylog,cdrS,114.01754,15.20233867
earlylog,cdrS,52.810986,7.0414648
earlylog,cdrS,46.615448,6.215393067
earlylog,cdrS,122.0041,16.26721333
earlylog,cdrS,48.02083,6.402777333
earlylog,cdrS,60.307545,8.041006
earlylog,cdrS,91.525955,12.20346067
earlylog,cdrS,42.72002,5.696002667
earlylog,cdrS,103.58572,13.81142933
earlylog,cdrS,59.908264,7.987768533
earlylog,cdrS,62.514,8.3352
earlylog,cdrS,56.648037,7.5530716
earlylog,cdrS,27.658634,3.687817867
earlylog,cdrS,77.491936,10.33225813
earlylog,cdrS,126.491104,16.86548053
earlylog,cdrS,64.49806,8.599741333
earlylog,cdrS,135.83078,18.11077067
earlylog,cdrS,65.96969,8.795958667
earlylog,cdrS,95.12623,12.68349733
earlylog,cdrS,34.176014,4.556801867
earlylog,cdrS,47.853943,6.380525733
earlylog,cdrS,18.384777,2.4513036
earlylog,cdrS,48.466484,6.462197867
earlylog,cdrS,232.95708,31.060944
earlylog,cdrS,69.89278,9.319037333
earlylog,cdrS,40,5.333333333
earlylog,cdrS,72.277245,9.636966
earlylog,cdrS,37.363083,4.9817444
earlylog,cdrS,129.13947,17.218596
earlylog,cdrS,163.49007,21.798676
earlylog,cdrS,229.45587,30.594116
earlylog,cdrS,154.23683,20.56491067
earlylog,cdrS,79.93122,10.657496
earlylog,cdrS,322.02484,42.93664533
earlylog,cdrS,161.53328,21.53777067
earlylog,cdrS,263.3097,35.10796
earlylog,cdrS,100.62306,13.416408
earlylog,cdrS,51.156624,6.8208832
earlylog,cdrS,35.902645,4.787019333
earlylog,cdrS,84.693565,11.29247533
earlylog,cdrS,44.82187,5.976249333
earlylog,cdrS,102,13.6
earlylog,cdrS,66.1211,8.816146667
earlylog,cdrS,53.600372,7.146716267
earlylog,cdrS,35,4.666666667
earlylog,cdrS,56.61272,7.548362667
earlylog,cdrS,42.638012,5.685068267
earlylog,cdrS,29.12044,3.882725333
earlylog,cdrS,76.105194,10.1473592
earlylog,cdrS,181.2181,24.16241333
earlylog,cdrS,32.01562,4.268749333
earlylog,cdrS,71.8401,9.57868
earlylog,cdrS,54.91812,7.322416
earlylog,cdrS,37.589893,5.011985733
earlylog,cdrS,29.15476,3.887301333
earlylog,cdrS,69.18092,9.224122667
earlylog,cdrS,155.80116,20.773488
earlylog,cdrS,45.39824,6.053098667
earlylog,cdrS,149.89664,19.98621867
earlylog,cdrS,51.86521,6.915361333
earlylog,cdrS,52.009613,6.934615067
earlylog,cdrS,61.77378,8.236504
earlylog,cdrS,99.0404,13.20538667
earlylog,cdrS,15.264338,2.035245067
earlylog,cdrS,135.47325,18.0631
earlylog,cdrS,133.79462,17.83928267
earlylog,cdrS,43.56604,5.808805333
earlylog,cdrS,183.15294,24.420392
earlylog,cdrS,147.64822,19.68642933
earlylog,cdrS,73.082146,9.744286133
earlylog,cdrS,121.235306,16.16470747
earlylog,cdrS,57.870544,7.716072533
earlylog,cdrS,60.464867,8.061982267
earlylog,cdrL,53.600372,7.146716267
earlylog,cdrL,131.32022,17.50936267
earlylog,cdrL,157.87654,21.05020533
earlylog,cdrL,108.503456,14.46712747
earlylog,cdrL,42.059483,5.607931067
earlylog,cdrL,76.02631,10.13684133
earlylog,cdrL,133.96268,17.86169067
earlylog,cdrL,88.07383,11.74317733
earlylog,cdrL,53.15073,7.086764
earlylog,cdrL,207.50421,27.667228
earlylog,cdrL,309.34286,41.24571467
earlylog,cdrL,28.635643,3.818085733
earlylog,cdrL,76.537575,10.20501
earlylog,cdrL,187.29922,24.97322933
earlylog,cdrL,78.77182,10.50290933
earlylog,cdrL,214.15881,28.554508
earlylog,cdrL,27.294687,3.6392916
earlylog,cdrL,218.7167,29.16222667
earlylog,cdrL,101.17806,13.490408
earlylog,cdrL,183.41211,24.454948
earlylog,cdrL,34.20526,4.560701333
earlylog,cdrL,83.21658,11.095544
