Growth_phase,Strain,Area_px,Area
earlylog,cdrS,1181.5,21.00444444
earlylog,cdrS,210.625,3.744444444
earlylog,cdrS,318.875,5.668888889
earlylog,cdrS,2316.75,41.18666667
earlylog,cdrS,334.875,5.953333333
earlylog,cdrS,178,3.164444444
earlylog,cdrS,2302.875,40.94
earlylog,cdrS,532,9.457777778
earlylog,cdrS,113.5,2.017777778
earlylog,cdrS,170,3.022222222
earlylog,cdrS,1285,22.84444444
earlylog,cdrS,109.75,1.951111111
earlylog,cdrS,1393.125,24.76666667
earlylog,cdrS,132.625,2.357777778
earlylog,cdrS,177.875,3.162222222
earlylog,cdrS,270.25,4.804444444
earlylog,cdrS,1485.125,26.40222222
earlylog,cdrS,253.125,4.5
earlylog,cdrS,410.75,7.302222222
earlylog,cdrS,236,4.195555556
earlylog,cdrS,425.875,7.571111111
earlylog,cdrS,273.5,4.862222222
earlylog,cdrS,376.25,6.688888889
earlylog,cdrS,1017.75,18.09333333
earlylog,cdrS,1259.625,22.39333333
earlylog,cdrS,244.5,4.346666667
earlylog,cdrS,216.75,3.853333333
earlylog,cdrS,474.625,8.437777778
earlylog,cdrS,2063.875,36.69111111
earlylog,cdrS,275.25,4.893333333
earlylog,cdrS,136,2.417777778
earlylog,cdrS,1264.5,22.48
earlylog,cdrS,1116.125,19.84222222
earlylog,cdrS,174.25,3.097777778
earlylog,cdrS,289.625,5.148888889
earlylog,cdrS,1499.75,26.66222222
earlylog,cdrS,313.125,5.566666667
earlylog,cdrS,723.375,12.86
earlylog,cdrS,838.125,14.9
earlylog,cdrS,1248.125,22.18888889
earlylog,cdrS,595.25,10.58222222
earlylog,cdrS,1171.625,20.82888889
earlylog,cdrS,318.375,5.66
earlylog,cdrS,116.875,2.077777778
earlylog,cdrS,356.625,6.34
earlylog,cdrS,489.125,8.695555556
earlylog,cdrS,705.375,12.54
earlylog,cdrS,491,8.728888889
earlylog,cdrS,1840.25,32.71555556
earlylog,cdrS,920.625,16.36666667
earlylog,cdrS,491.375,8.735555556
earlylog,cdrS,1653.875,29.40222222
earlylog,cdrS,1093.875,19.44666667
earlylog,cdrS,2195.625,39.03333333
earlylog,cdrS,264,4.693333333
earlylog,cdrS,479.25,8.52
earlylog,cdrS,3331.125,59.22
earlylog,cdrS,333.125,5.922222222
earlylog,cdrS,1113.5,19.79555556
earlylog,cdrS,358.75,6.377777778
earlylog,cdrS,1814.5,32.25777778
earlylog,cdrS,454.75,8.084444444
earlylog,cdrS,380.125,6.757777778
earlylog,cdrS,1360.125,24.18
earlylog,cdrS,335.375,5.962222222
earlylog,cdrS,561.625,9.984444444
earlylog,cdrS,624.375,11.1
earlylog,cdrS,359.375,6.388888889
earlylog,cdrS,879.375,15.63333333
earlylog,cdrS,337.75,6.004444444
earlylog,cdrS,470.5,8.364444444
earlylog,cdrS,503.5,8.951111111
earlylog,cdrS,219.625,3.904444444
earlylog,cdrS,638.5,11.35111111
earlylog,cdrS,885.5,15.74222222
earlylog,cdrS,351.5,6.248888889
earlylog,cdrS,1121.375,19.93555556
earlylog,cdrS,528.875,9.402222222
earlylog,cdrS,775.875,13.79333333
earlylog,cdrS,228.25,4.057777778
earlylog,cdrS,389.25,6.92
earlylog,cdrS,186.5,3.315555556
earlylog,cdrS,385.625,6.855555556
earlylog,cdrS,1846.75,32.83111111
earlylog,cdrS,376.75,6.697777778
earlylog,cdrS,333.125,5.922222222
earlylog,cdrS,537.875,9.562222222
earlylog,cdrS,318.625,5.664444444
earlylog,cdrS,1298.5,23.08444444
earlylog,cdrS,1638.75,29.13333333
earlylog,cdrS,2046.5,36.38222222
earlylog,cdrS,967.875,17.20666667
earlylog,cdrS,642.625,11.42444444
earlylog,cdrS,2890.25,51.38222222
earlylog,cdrS,1133.25,20.14666667
earlylog,cdrS,2060.125,36.62444444
earlylog,cdrS,632.875,11.25111111
earlylog,cdrS,380.875,6.771111111
earlylog,cdrS,295.125,5.246666667
earlylog,cdrS,491.25,8.733333333
earlylog,cdrS,355.875,6.326666667
earlylog,cdrS,636,11.30666667
earlylog,cdrS,465.75,8.28
earlylog,cdrS,398.125,7.077777778
earlylog,cdrS,253.625,4.508888889
earlylog,cdrS,391.125,6.953333333
earlylog,cdrS,294.625,5.237777778
earlylog,cdrS,214.5,3.813333333
earlylog,cdrS,500.75,8.902222222
earlylog,cdrS,1440.125,25.60222222
earlylog,cdrS,284.5,5.057777778
earlylog,cdrS,563.375,10.01555556
earlylog,cdrS,406.25,7.222222222
earlylog,cdrS,318.875,5.668888889
earlylog,cdrS,223,3.964444444
earlylog,cdrS,468.875,8.335555556
earlylog,cdrS,1196.5,21.27111111
earlylog,cdrS,510.25,9.071111111
earlylog,cdrS,1412.125,25.10444444
earlylog,cdrS,375.75,6.68
earlylog,cdrS,460.625,8.188888889
earlylog,cdrS,550.25,9.782222222
earlylog,cdrS,745.125,13.24666667
earlylog,cdrS,125.375,2.228888889
earlylog,cdrS,1061.375,18.86888889
earlylog,cdrS,1286.125,22.86444444
earlylog,cdrS,395.5,7.031111111
earlylog,cdrS,1694,30.11555556
earlylog,cdrS,1229.375,21.85555556
earlylog,cdrS,510.125,9.068888889
earlylog,cdrS,854.875,15.19777778
earlylog,cdrS,429.125,7.628888889
earlylog,cdrS,454.75,8.084444444
earlylog,cdrL,751.875,13.36666667
earlylog,cdrL,971.125,17.26444444
earlylog,cdrL,1522.875,27.07333333
earlylog,cdrL,1639.125,29.14
earlylog,cdrL,450.125,8.002222222
earlylog,cdrL,519.75,9.24
earlylog,cdrL,1212.375,21.55333333
earlylog,cdrL,287,5.102222222
earlylog,cdrL,458.125,8.144444444
earlylog,cdrL,2071.125,36.82
earlylog,cdrL,2806.875,49.9
earlylog,cdrL,109,1.937777778
earlylog,cdrL,523.625,9.308888889
earlylog,cdrL,1814,32.24888889
earlylog,cdrL,553.5,9.84
earlylog,cdrL,2122.875,37.74
earlylog,cdrL,125.375,2.228888889
earlylog,cdrL,2130,37.86666667
earlylog,cdrL,708.375,12.59333333
earlylog,cdrL,1387.75,24.67111111
earlylog,cdrL,475,8.444444444
earlylog,cdrL,575.625,10.23333333
earlylog,cdrL,1612.875,28.67333333
earlylog,cdrL,745.75,13.25777778
earlylog,cdrL,806.375,14.33555556
earlylog,cdrL,109.375,1.944444444
earlylog,cdrL,158.75,2.822222222
earlylog,cdrL,1006.625,17.89555556
earlylog,cdrL,165.375,2.94
earlylog,cdrL,503.5,8.951111111
