Experiment,Threshold,Strain,Replicate,Area_px,Circularity,Length_px,Area_micron,Length_micron
20170601,-5,EV,B,124.953125,0.9887719,13.226467,2.221388889,1.763528933
20170601,-5,EV,B,214.4043,0.99134046,17.412619,3.811632,2.321682533
20170601,-5,EV,B,179.4375,0.9842408,16.445776,3.19,2.192770133
20170601,-5,EV,B,240.15625,0.9900883,18.458065,4.269444444,2.461075333
20170601,-5,EV,B,652.3281,0.9667257,31.753403,11.596944,4.233787067
20170601,-5,EV,B,407.542,0.9081277,28.3094,7.245191111,3.774586667
20170601,-5,EV,B,456.78223,0.9868213,26.291609,8.120572978,3.505547867
20170601,-5,EV,B,178.89062,0.9815583,16.52618,3.180277689,2.203490667
20170601,-5,EV,B,364.77344,0.9347478,26.405945,6.484861156,3.520792667
20170601,-5,EV,B,316.89062,0.99065197,20.97425,5.633611022,2.796566667
20170601,-5,EV,B,204.51562,0.9884177,17.455845,3.635833244,2.327446
20170601,-5,EV,B,218.52051,0.9278185,20.204185,3.884809067,2.693891333
20170601,-5,EV,B,284.375,0.959563,22.15798,5.055555556,2.954397333
20170601,-5,EV,B,206.58984,0.9655712,18.834135,3.672708267,2.511218
20170601,-5,EV,B,166.75488,0.9836168,16.074541,2.9645312,2.143272133
20170601,-5,EV,B,301.23438,0.95165783,23.423391,5.355277867,3.1231188
20170601,-5,EV,B,253.3125,0.95053774,21.030228,4.503333333,2.8040304
20170601,-5,EV,B,244.5813,0.98558253,19.084753,4.348112,2.544633733
20170601,-5,EV,B,312.66406,0.9661153,22.511696,5.558472178,3.001559467
20170601,-5,EV,B,164.71875,0.9967165,14.721013,2.928333333,1.962801733
20170601,-5,EV,B,283.3125,0.98312837,20.651571,5.036666667,2.7535428
20170601,-5,EV,B,477.3125,0.94246936,28.149046,8.485555556,3.753206133
20170601,-5,EV,B,313.1875,0.97190416,21.295599,5.567777778,2.8394132
20170601,-5,EV,B,145.17188,0.99428314,13.897468,2.580833422,1.852995733
20170601,-5,EV,B,300.65625,0.936258,23.326546,5.345,3.110206133
20170601,-5,EV,B,166.85156,0.8705436,19.405573,2.966249956,2.587409733
20170601,-5,EV,B,144.15234,0.98342425,14.79759,2.562708267,1.973012
20170601,-5,EV,B,143.76562,0.9866317,14.760165,2.555833244,1.968022
20170601,-5,EV,B,260.63867,0.97011554,20.937994,4.633576356,2.791732533
20170601,-5,EV,B,282.70312,0.9810221,20.765093,5.025833244,2.768679067
20170601,-5,EV,B,241.40039,0.9969601,17.880873,4.291562489,2.3841164
20170601,-5,EV,B,349.42188,0.9699635,23.924812,6.211944533,3.189974933
20170601,-5,EV,B,218.65625,0.98211205,18.171478,3.887222222,2.422863733
20170601,-5,EV,B,251.28906,0.97944665,19.819283,4.467361067,2.642571067
20170601,-5,EV,B,199.39844,0.97528726,17.754168,3.544861156,2.3672224
20170601,-5,EV,B,181.71875,0.99432826,15.765931,3.230555556,2.102124133
20170601,-5,EV,B,282.3125,0.9889126,20.543802,5.018888889,2.7391736
20170601,-5,EV,B,173.67188,0.99474555,15.398273,3.087500089,2.053103067
20170601,-5,EV,B,204.625,0.98095155,17.830645,3.637777778,2.377419333
20170601,-5,EV,B,205.5625,0.9839421,17.260162,3.654444444,2.301354933
20170601,-5,EV,B,392.15625,0.97766834,23.18502,6.971666667,3.091336
20170601,-5,EV,B,268.46875,0.9639265,20.808668,4.772777778,2.774489067
