Strain,Label,Area_px,Area_micron,Length_px,Length_micron
ura3,ura3B,1074.8438,2.6871095,52.801514,2.6400757
ura3,ura3B,735.8281,1.83957025,41.880783,2.09403915
ura3,ura3B,2488.8125,6.22203125,137.6372,6.88186
ura3,ura3B,967.90625,2.419765625,51.40039,2.5700195
ura3,ura3B,1778.9805,4.44745125,99.824844,4.9912422
ura3,ura3B,955.21094,2.38802735,61.09828,3.054914
ura3,ura3B,1127.9453,2.81986325,57.00877,2.8504385
ura3,ura3B,1465.3438,3.6633595,99.744675,4.98723375
ura3,ura3B,281.005,0.7025125,43.32436,2.166218
ura3,ura3B,1394.1289,3.48532225,72.249565,3.61247825
ura3,ura3B,1591,3.9775,93.214806,4.6607403
ura3,ura3B,2021.3906,5.0534765,144.18044,7.209022
ura3,ura3B,2481.1562,6.2028905,147.48898,7.374449
ura3,ura3B,1653.1562,4.1328905,96.74709,4.8373545
ura3,ura3B,4681.75,11.704375,214.04906,10.702453
ura3,ura3B,2793.3438,6.9833595,149.91331,7.4956655
ura3,ura3B,1995.0195,4.98754875,108.04629,5.4023145
ura3,ura3B,1111.0039,2.77750975,51.62364,2.581182
ura3,ura3B,1620.0532,4.050133,80.1561,4.007805
ura3,ura3B,818.5254,2.0463135,46.840153,2.34200765
ura3,ura3B,4121.4785,10.30369625,147.3635,7.368175
ura3,ura3B,1197.3583,2.99339575,61.351448,3.0675724
ura3,ura3B,1514.3906,3.7859765,71.17584,3.558792
ura3,ura3B,2443.9375,6.10984375,69.2315,3.461575
ura3,ura3B,839.9531,2.09988275,42.426407,2.12132035
ura3,ura3B,554.4297,1.38607425,46.486557,2.32432785
ura3,ura3B,1790.3438,4.4758595,52.23983,2.6119915
ura3,ura3B,1569.3281,3.92332025,75.66373,3.7831865
ura3,ura3B,3054.1484,7.635371,177.36967,8.8684835
ura3,ura3B,1070.5156,2.676289,51.40039,2.5700195
ura3,ura3B,1706.7188,4.266797,76.66159,3.8330795
ura3,ura3B,1772.998,4.432495,62.241467,3.11207335
ura3,ura3B,2715.745,6.7893625,158.66002,7.933001
ura3,ura3B,1935.5,4.83875,83.09633,4.1548165
ura3,ura3B,2336.5,5.84125,133.29666,6.664833
ura3,ura3B,5411.875,13.5296875,260.24988,13.012494
ura3,ura3B,2014.4062,5.0360155,109.55364,5.477682
ura3,ura3B,6137.826,15.344565,301.40005,15.0700025
ura3,ura3B,617.00977,1.542524425,48.104053,2.40520265
ura3,ura3B,5187.451,12.9686275,291.52872,14.576436
ura3,ura3B,1088.5098,2.7212745,53.851646,2.6925823
ura3,ura3B,1856.7773,4.64194325,91.214035,4.56070175
ura3,ura3B,2963.2656,7.408164,174.89711,8.7448555
ura3,ura3B,1449.207,3.6230175,57.070133,2.85350665
ura3,ura3B,1486.2422,3.7156055,51.47815,2.5739075
ura3,ura3B,952.91406,2.38228515,70.60453,3.5302265
ura3,ura3B,1490.3516,3.725879,68.41052,3.420526
ura3,ura3B,1149.5938,2.8739845,47.296936,2.3648468
ura3,ura3B,5292.172,13.23043,299.06018,14.953009
ura3,ura3B,1771,4.4275,86.28442,4.314221
ura3,ura3B,4539.117,11.3477925,232.59407,11.6297035
ura3,ura3B,1016.75,2.541875,47.92703,2.3963515
ura3,ura3B,3573.8594,8.9346485,167.29614,8.364807
ura3,ura3B,1804.1562,4.5103905,108.00463,5.4002315
ura3,ura3B,1264.75,3.161875,57.939625,2.89698125
ura3,ura3B,3967.4688,9.918672,265.48068,13.274034
ura3,ura3B,1912.1562,4.7803905,91.92388,4.596194
ura3,ura3B,693.34375,1.733359375,61.846584,3.0923292
ura3,ura3B,2498.6562,6.2466405,126.01587,6.3007935
ura3,ura3B,1238.9688,3.097422,79.397736,3.9698868
ura3,ura3B,1879.9648,4.699912,95.96353,4.7981765
ura3,ura3B,1315.8477,3.28961925,72.18033,3.6090165
ura3,ura3B,4816.3984,12.040996,267.0749,13.353745
ura3,ura3B,2133.5469,5.33386725,104.44616,5.222308
ura3,ura3B,2401.9922,6.0049805,140.46352,7.023176
ura3,ura3B,3079.9219,7.69980475,104.69002,5.234501
ura3,ura3B,2684.1016,6.710254,132.96616,6.648308
ura3,ura3B,5436.9375,13.59234375,309.48343,15.4741715
ura3,ura3B,4460.2812,11.150703,244.76111,12.2380555
ura3,ura3B,1523.8145,3.80953625,63.631752,3.1815876
ura3,ura3B,1748.4297,4.37107425,78.31347,3.9156735
ura3,ura3B,1333.3984,3.333496,74.330345,3.71651725
ura3,ura3B,776.5078,1.9412695,35.846897,1.79234485
ura3,ura3B,1364.9863,3.41246575,74.54529,3.7272645
ura3,ura3B,1763.4062,4.4085155,89.27486,4.463743
ura3,ura3B,789.8047,1.97451175,58.821766,2.9410883
ura3,ura3B,2146.7812,5.366953,118.43141,5.9215705
ura3,ura3B,1385.7344,3.464336,79.83107,3.9915535
ura3,ura3B,1020,2.55,59.48109,2.9740545
ura3,ura3B,1724.4062,4.3110155,90.80198,4.540099
ura3,ura3B,1595.7266,3.9893165,94.15413,4.7077065
ura3,ura3B,1196.3242,2.9908105,58.30952,2.915476
ura3,ura3B,2082.9531,5.20738275,77.10383,3.8551915
ura3,ura3B,3710.375,9.2759375,192.4422,9.62211
ura3,ura3B,2272.9219,5.68230475,117.33712,5.866856
ura3,ura3B,2260.3438,5.6508595,100.72239,5.0361195
ura3,ura3B,433.47656,1.0836914,35.77709,1.7888545
ura3,ura3B,5464.6875,13.66171875,289.94653,14.4973265
ura3,ura3B,1288.4062,3.2210155,79.93122,3.996561
ura3,ura3B,1765.666,4.414165,100.80675,5.0403375
ura3,ura3B,2091.9434,5.2298585,67.74216,3.387108
ura3,ura3B,868.35156,2.1708789,49.396355,2.46981775
ura3,ura3B,5028.3516,12.570879,247.88103,12.3940515
ura3,ura3B,1554.7969,3.88699225,52.95281,2.6476405
ura3,ura3B,3685.8965,9.21474125,191.76027,9.5880135
ura3,ura3B,1868.0312,4.670078,113.507706,5.6753853
ura3,ura3B,1374.1094,3.4352735,85.58621,4.2793105
ura3,ura3B,2249.9062,5.6247655,119.06721,5.9533605
ura3,ura3B,1055.7188,2.639297,101.92154,5.096077
ura3,ura3B,1796.4688,4.491172,96.540146,4.8270073
ura3,ura3B,1745.6094,4.3640235,66.309875,3.31549375
ura3,ura3B,5934.0117,14.83502925,336.2157,16.810785
ura3,ura3B,910.35156,2.2758789,55.31727,2.7658635
ura3,ura3B,2298.9922,5.7474805,139.60658,6.980329
ura3,ura3B,3174.0078,7.9350195,200,10
ura3,ura3B,2037.5625,5.09390625,92.44458,4.622229
ura3,ura3B,1873.25,4.683125,113.46365,5.6731825
ura3,ura3B,8380.234,20.950585,370.55228,18.527614
ura3,ura3B,2322.791,5.8069775,137.41907,6.8709535
ura3,ura3B,1706.5664,4.266416,70.93659,3.5468295
ura3,ura3B,4700.4062,11.7510155,229.07858,11.453929
ura3,ura3B,1637.2812,4.093203,72.138756,3.6069378
ura3,ura3B,501.15625,1.252890625,41.59327,2.0796635
ura3,ura3B,1484.7148,3.711787,51.62364,2.581182
ura3,ura3B,2034.4414,5.0861035,86.833176,4.3416588
ura3,ura3B,2364.7812,5.911953,131.47243,6.5736215
ura3,ura3B,6058.8125,15.14703125,335.65756,16.782878
ura3,ura3B,1746.2188,4.365547,91.350975,4.56754875
ura3,ura3B,1938.3276,4.845819,86.127815,4.30639075
ura3,ura3B,1546.1504,3.865376,76.05919,3.8029595
ura3,ura3B,4294.742,10.736855,237.11812,11.855906
ura3,ura3B,915.83594,2.28958985,67.06713,3.3533565
ura3,ura3B,2538.5625,6.34640625,114.061386,5.7030693
ura3,ura3B,2231.6406,5.5791015,106.92053,5.3460265
ura3,ura3B,2306.2656,5.765664,121.64292,6.082146
ura3,ura3B,1246.0312,3.115078,61.66036,3.083018
ura3,ura3B,6179.1797,15.44794925,336.17407,16.8087035
ura3,ura3B,1488.4531,3.72113275,84.95882,4.247941
ura3,ura3B,3340.375,8.3509375,187.94946,9.397473
ura3,ura3B,1898.9375,4.74734375,62.968246,3.1484123
ura3,ura3B,4580,11.45,209.6187,10.480935
ura3,ura3B,3713.625,9.2840625,158.02847,7.9014235
ura3,ura3B,3053.8477,7.63461925,132.91351,6.6456755
ura3,ura3B,912.57227,2.281430675,53.935146,2.6967573
ura3,ura3B,1221.7109,3.05427725,57.72348,2.886174
ura3,ura3B,1045.3137,2.61328425,62.936478,3.1468239
ura3,ura3B,1855.4092,4.638523,75.00667,3.7503335
ura3,ura3B,1023.625,2.5590625,44.72136,2.236068
ura3,ura3B,1461.4688,3.653672,94.254974,4.7127487
ura3,ura3B,1494.7031,3.73675775,79.12016,3.956008
ura3,ura3B,4855.375,12.1384375,257.79254,12.889627
ura3,ura3B,1029.6719,2.57417975,41.340054,2.0670027
ura3,ura3B,1784.5312,4.461328,69.18092,3.459046
ura3,ura3B,469.57812,1.1739453,40.024994,2.0012497
ura3,ura3B,6070.8203,15.17705075,290.08447,14.5042235
ura3,ura3B,834.8047,2.08701175,40.459858,2.0229929
