"OD0.2_ura3_1","OD0.2_ura3_2","OD0.2_cdrS_1","OD0.2_cdrS_3","OD0.2_cdrS_4","OD0.2_ura3_3","OD0.2_ura3_4","OD0.7_ura3_1","OD0.7_ura3_2","OD0.7_cdrS_1","OD0.7_cdrS_3","OD0.7_cdrS_4","OD0.7_ura3_3","OD0.7_ura3_4","OD1.5_ura3_1","OD1.5_ura3_2","OD1.5_cdrS_1","OD1.5_cdrS_3","OD1.5_cdrS_4","OD1.5_ura3_3","OD1.5_ura3_4","OD2.0_ura3_1","OD2.0_ura3_2","OD2.0_cdrS_1","OD2.0_cdrS_3","OD2.0_cdrS_4","OD2.0_ura3_3","OD2.0_ura3_4","OD0.2_ura3_5","OD0.2_ura3_6","OD0.2_ura3_7","OD0.2_ura3_8"
"mc1",-0.614410424346843,-0.65359627000475,-0.466948700296543,-0.231538525711577,-0.217569501484546,-0.197496067928827,-0.0389556788379784,1.1854748246648,0.733811936158809,1.07588040881769,0.97705127330016,1.15120735643091,0.954209767058289,0.945396710441484,0.802420778315918,0.78012930683011,0.832371725954514,0.850982889604955,0.819505866655597,0.65018635505805,0.659318821895245,0.353589660442623,-1.13863034393414,0.0755830597483107,-0.2515468015632,-1.41665571359874,-0.100969487016927,0.5451841753613,-0.732505118168071,-0.185562713271429,-0.373976198363838,-0.228358667674691
"minD1",-0.130910738112654,0.163945410739457,-0.115586140723191,-0.108592692406788,0.0976278310654669,0.0109423297486343,-0.132985275487921,0.637475946437484,0.796503436881226,0.729983482108079,0.68946904249592,0.667917792256264,0.536079386004396,0.549182480633619,0.918034583281058,1.28056103347631,0.917936220914195,0.921611200247453,0.75470559872342,0.784398136487597,1.00245917339348,0.805270965712641,0.861681714547788,0.784087594099893,0.618092267506869,0.433341397336302,0.735029911340524,0.688214444597055,-0.0633709289054165,0.0167496412812748,-0.0528292059276153,-0.0706330165040247
"minD2",-0.26042797708242,-0.442989061213282,-0.247932677280597,-0.0925416615899661,-0.00791165879794509,0.0895786888724362,0.298213550000551,0.684716584744267,0.638543408900028,0.489260768942564,0.948502121630539,1.0364697368578,0.921693031142398,1.07142167611379,0.481526913571577,0.310154928570506,0.42467291735869,0.591235799791685,0.486973061784284,0.558758409634525,0.637624489078814,0.107303888684615,0.441569021648031,0.358083202676757,0.186831387204288,0.531511122393028,-0.216985983108649,0.0546704963159187,-0.692118282057594,0.00297735328158497,-0.204713739672892,-0.158740373710161
"mrp",-0.115043480167672,-0.142785808654022,-0.191417657165892,0.11473055936509,0.199880423643255,0.304153231565188,0.212608666570702,0.51815387680744,0.0459816477863805,0.631349821668622,0.491363640004214,0.344767998581226,0.320518798852201,0.362080796850829,0.172374791334431,-0.18721582139142,0.126017973070846,0.216492139638617,0.0121983921677418,-0.0189983695581548,0.0839407465924548,-0.242458501019439,-1.01419038522307,-0.254952362403269,-0.399027889528667,-0.962416066358282,-0.330470795548748,-0.29623653374432,0.0307681047210446,0.103907582361253,-0.0608448168700864,0.0673487369047833
"sojA",-0.239385867720545,-0.325329183087192,-1.81036622218707,-1.97596868733411,-2.03572400824143,-0.4297458985964,-0.259808678061972,0.423239780493107,-0.146502929562446,-0.946267138400232,-0.982244771719122,-1.03118615226986,-0.113473284240925,-0.103615652151261,-0.559650582790757,-0.283999739236881,-0.892591141435412,-0.787200635973274,-0.820098130154956,-0.570332281986671,-0.424241354223763,-0.85910790388779,-0.418206150060704,-1.19028026316224,-1.34894512501091,-1.26035295168206,-1.00877876568131,-0.707579460699144,-0.396371123022312,0.0354127895136583,-0.121909655953964,0.0339269489531679
"sojB",-0.063283556402,-0.306953277697675,-0.0228430399299121,0.0155224490153589,0.0386824596670142,0.0288748110913687,0.144654927826038,0.410380741892943,0.186137410488463,0.590171404149803,0.585615801949967,0.386406211695594,0.347020809284139,0.496314083643517,0.311615150327212,-0.194537112621074,0.295832593777452,0.236234722777271,-0.103563476855256,-0.165352411784607,0.280771343023573,0.573242417693948,-0.443644176361911,0.110693919142762,-0.0771496786870724,-0.323488171799948,0.0437453586045526,0.566787289989089,-0.0264197194812177,0.170266108510082,-0.0149383506356715,0.11765629873671
"sojC1",-0.458172995191925,-0.825808579167606,-0.333425501834834,-0.868113643692645,-0.932464695590475,-1.06338266876557,-0.988508269333756,-0.209750571499948,-0.580250147329868,-0.202699389649138,-0.0588681937397343,-0.2401240829709,0.246180378238016,-0.162226288791832,-0.022878535174243,-0.266897014173503,0.137667071403511,-0.0797497555881891,0.124328047594214,0.0534911969790811,-0.113795894752341,-0.744664965406751,-1.10761389281482,-0.530100363819162,-1.18035729843604,-0.838439466734654,-1.02225928234769,-1.03665057715465,-0.71348356211759,-0.442896703407697,-0.454586930795203,-0.491724423784992
"sojC2",-4.4191978015827,-4.30653266916713,-4.35575961333516,-4.78724845237956,-3.87586616383172,-4.23086631867394,-4.08449595931532,-3.66598197376096,-3.9038856536625,-4.12106224187738,-3.34990212927652,-3.15096143807018,-3.48655404844016,-3.20792035577141,-3.77154710059355,-4.00561970907157,-3.51582823442131,-3.26677554185342,-3.72670249167097,-4.12591071203838,-3.57651888013266,-4.71068860300057,-4.43000870144199,-4.80674037476197,-4.46657152866235,-4.44628001246868,-6.79231275797229,-4.45030556108028,-5.86627963968494,-4.34269546608257,-4.65967874907979,-4.14827313643766
"sojD",0.219772578363835,-0.0980249975895827,0.0723739057435258,-0.127098772075949,-0.0596532617394244,-0.071583573745619,0.0203915656026708,-0.28472886679281,-0.194367044063285,-0.663030999702144,-0.0145645956678724,-0.462309011294127,-0.382764186398434,-0.25917590299819,-0.813079315125965,-0.66816247989974,-0.791836668198628,-0.909076909173109,-1.12856106768071,-1.1515319248328,-1.30007937016145,-1.09028829840203,-1.22456800702704,-0.848951935949583,-1.10311327191282,-1.33603995899408,-1.70405004393084,-0.908471444835222,-0.327022341658269,0.314523408783397,0.202326438962036,0.235570878412324
"sojE",0.0423286362453913,-0.286318052483467,0.598287644450496,0.228438800304317,0.152501147811351,-0.365609528736634,-0.121005326664282,0.307407763700223,-0.438032308013476,0.796525257183385,0.546250296064318,0.260600930707917,0.0531202946556963,-0.0672627875171033,0.0291080841785624,-0.347440351484854,0.937082923899419,1.01843247098431,0.916941336984744,0.137687658622288,-0.0799155628401166,-0.10275683595331,-0.261481847611787,0.567562527082859,0.26160824568037,-0.116254474376651,-0.303506139206469,-0.211949491737109,0.0856714791439694,0.193233308996836,0.103448277294891,0.0370313634676266
"VNG0194H",-0.391855553654595,-0.58455559762648,-9.18635044523609,-9.05308879063167,-9.22545400978623,-0.195506609226486,-0.183006168286933,0.340639340030252,-0.0612072471971446,-8.63825409341151,-9.14680235117219,-7.33981747454221,0.198183117002803,0.207056105903352,0.174768711565649,0.353975122799275,-9.01385295970933,-8.81871053132449,-9.0197530707652,0.364006422053975,0.333357092451125,-0.200160890101657,-0.499623930978335,-9.27754912166963,-9.41490753771746,-9.50605461612523,-0.425498348663538,-0.330756593673204,-0.561622941170462,-0.129101774456536,-0.270381696051617,-0.18072996245246
"VNG0195H",-0.210491906949361,-0.307036977350593,-0.300783853846134,-0.152769250107487,0.171088598517469,-0.053204004948711,-0.184325039225242,0.301066735368285,0.0427203831198157,0.363123147218512,0.417007189935169,0.360948497586263,0.191991713088365,0.22587152540705,-0.129262351105985,0.160133059371841,-0.0401770338021408,0.0329373593582958,-0.0344233884984905,-0.170983998486866,0.0274949983344052,0.187714914789482,0.134260771687931,0.163755820982019,0.117390738273382,-0.25347768543535,0.231415086848065,0.0716583362441056,-0.220508911278261,-0.00664362005242757,-0.075287546809213,-0.167261228206818
"VNG1065C",-0.054164073238054,-0.217544353619377,0.104184140399695,-0.286513828447954,-0.273106285237436,-0.409354445283894,-0.328300257187106,0.0410254883739763,-0.0212444865157702,0.0151283335120659,-0.0208097629670924,0.0343298415464796,0.0823773142038744,-0.0118264941072833,-0.172225329257493,-0.367508586496844,-0.106751131004194,-0.299529078590214,-0.32866624401091,-0.32240666204061,-0.165768661809586,0.433612711192915,0.445121280281557,0.405336720533499,0.594348466891024,1.0923154357028,0.809169646433572,0.430942026383741,0.237692702059409,-0.0232342068561948,0.144615921863143,0.045993768372907
