Probe Name,Sample,Condition,Category,Strain,Replicate,Run,VNG0194H,VNG0195H,VNG1065C,csg,dpsA,ftsZ1,ftsZ2,ftsZ3,ftsZ4,ftsZ5,hpyA,mc1,minD1,minD2,sojA,sojB,sojC1,sojC2,sojD,sojE,coxA2,eif1a2,mrp
20190208_Darnell7_CD23_04.RCC,CD23,OD0.7,2,ura3,A,Run07,255151.89,4685.55,513.99,903543.31,392770.28,8669.01,279501.47,1199.32,4279.57,15414.26,4553.32,64884.4,1612.75,558.69,62644.05,25282.59,638.77,65.18,1448.87,873.42,21800.09,35765.48,7730.41
20190130_aschmid-20190116-2_CD-24_10.RCC,CD24,OD0.7,2,ura3,B,Run02,170717.89,3618.78,482.96,527914.94,206468.94,6660.4,175740.17,816.07,2759.9,7342.88,5199.53,41303.38,1890.74,533.48,35435.92,20203.84,441,51.38,1585.89,414.46,26755.48,31013.93,4821.04
20190212_Darnell8_CD32_01.RCC,CD32,OD0.7,2,ura3,C,Run08,221274.23,4201.36,535.69,963847.19,393712.53,6077.29,208298.66,1015.96,3324.96,12971.46,6602.72,51487.66,1457.24,708.09,36625.9,23730.38,1007.75,77.99,1313.57,677.31,15101.9,49537.84,6344.11
20190205_Darnell4_CD34_03.RCC,CD34,OD0.7,2,cdrL,C,Run04,320321.44,81.36,591.71,1131250.62,577012,8150.79,372695.06,1242.59,4689.29,19504.19,5532.47,72676.6,1826.9,695.26,72550.87,29518.86,643.48,73.96,1020.7,747.03,15939.15,42492.07,9223.26
20190204_Darnell3_CD53_06.RCC,CD53,OD1.5,3,cdrL,A,Run03,284196.22,50.88,547.29,459869.53,485420.25,10661.16,342232.38,1278.84,4704.22,8956.03,3562.89,45364.58,2025.52,511.54,24201.78,21210.93,705.43,70.13,841.56,996.95,18475.86,39633.16,5756.17
20190212_Darnell8_CD48_10.RCC,CD48,OD1.5,3,cdrL,B,Run08,269894.09,64.37,516.33,474534.28,425012.44,10497.38,342217.16,1056.45,5758.03,8725.9,3743.07,44214.38,2066.73,422.58,22364.66,20615.56,786.39,62.97,833.97,618.48,20204.17,38415.77,5373.23
20190208_Darnell7_CD55_03.RCC,CD55,OD1.5,3,cdrL,C,Run07,282749.22,47.57,460.69,513242.97,503915.31,8740.54,355703,1076.61,4640.67,7686.46,4057.3,46087.49,2105.64,517.02,27064.11,16346.88,781.17,51.33,718.57,688.53,20947.49,41528.19,4996.2
20190212_Darnell8_CD49_08.RCC,CD49,OD1.5,3,cdrS,A,Run08,22.09,3330.89,443.38,553126.56,497841.03,8957.58,187807.91,1058.75,4039.36,6519.77,3717.47,45581.6,2134.86,430.76,16804.35,22546.23,904.12,75.74,872.56,1639.41,20646.47,43778.09,5222.76
20190130_aschmid-20190116-2_CD-51_02.RCC,CD51,OD1.5,3,cdrS,C,Run02,26.85,3583.55,365.64,539736.88,556140.94,10066.67,244359.11,1066.24,5735.22,6896.07,3701.17,46437.87,2142.72,508.83,18672.06,21241.78,727.45,97.16,776.03,1778.35,23046.98,47556.53,5717.32
20190130_aschmid-20190116-2_CD-52_11.RCC,CD52,OD1.5,3,cdrS,D,Run02,21.96,3350.11,355.14,423830.69,431981.56,9665.07,218442.84,1241.9,4897.64,4913.79,4235.8,44998.91,1813.34,458.45,18067.79,15122.32,892.14,61.34,623.1,1606.72,22790.02,49515.59,4660.89
20190206_Darnell5_CD45_09.RCC,CD45,OD1.5,3,ura3,A,Run05,216153.41,3046.99,415.28,401098.16,414995.44,10107.74,267450.78,1041.52,5536.79,8042.68,3366.73,44236.63,2135.07,455.96,23443.15,22904.89,770.02,58.65,854.22,661.24,23667.35,40774.36,5470.57
20190207_Darnell6_CD46_04.RCC,CD46,OD1.5,3,ura3,B,Run06,258577.33,4069.62,341.61,491755.97,313756.28,13216.91,278561.91,1171.77,4701.27,3828.56,4848.22,43261.44,3068,384.15,30883.72,13807.31,603.29,46.41,987.43,453.76,32478.31,36121.24,3818.25
20190212_Darnell8_CD54_11.RCC,CD54,OD1.5,3,ura3,C,Run08,261184.25,2922.48,357.37,435741.66,425598.78,8107.93,291876.12,1042.73,5156.07,5533.43,3707.76,37989.84,1867.99,492.57,23194.07,14216.21,831.13,41.15,608.95,737.08,22333.55,50211.1,4517.73
20190206_Darnell5_CD56_07.RCC,CD56,OD1.5,3,ura3,D,Run05,253300.56,3564.1,417.97,512316.66,533809.81,8375.63,316705.91,963.93,6648.67,6167.51,3693.7,38338.37,2323.15,532.99,26842.53,22209.2,703.1,71.28,524.89,592.94,19967.06,48019.76,5007.56
20190130_aschmid-20190116-2_CD-65_07.RCC,CD65,OD2.0,4,cdrL,A,Run02,161849.44,33.03,1011.78,189461.55,244575.39,5890.24,198822.12,438.22,4540.12,3210.95,3472.76,14848.04,1419.39,450.31,17365.41,13996.57,377,36.25,647.67,668.61,15573.85,25433.07,3554.93
20190206_Darnell5_CD60_06.RCC,CD60,OD2.0,4,cdrL,B,Run05,216555.84,53.99,622.27,189557.86,370832.12,10392.87,285220,785.17,7488.02,3682.45,3458.92,36560.21,2122.52,328.65,22398.7,15699.64,340.02,51.15,684.78,536.08,18176.39,35432.18,3595.31
20190207_Darnell6_CD67_01.RCC,CD67,OD2.0,4,cdrL,C,Run06,226957.53,38.72,659.52,212012.42,256946.98,8541.1,286062.72,728.5,6143.83,3309.71,3504.54,28926.96,1872.07,342.47,23273.23,15406.17,378.77,45.98,660.73,542.14,16993.86,35756.93,3504.54
