Experiment,Strain,Replicate,Time,Area_px,Circularity,Length_px,Area_micron,Length_micron
20170606,EV,B,,449.34375,0.79823095,30.413813,7.988333333,4.055175067
20170606,EV,B,,420.5625,0.9662708,25.806976,7.476666667,3.440930133
20170606,EV,B,,184.51074,0.96828717,17.088007,3.280190933,2.278400933
20170606,EV,B,,230.57031,0.9653398,19.723083,4.099027733,2.6297444
20170606,EV,B,,291.82812,0.9339293,23.769728,5.188055467,3.169297067
20170606,EV,B,,289.16406,0.978264,20.396078,5.1406944,2.719477067
20170606,EV,B,,619.53125,0.898017,31.764761,11.01388889,4.235301467
20170606,EV,B,,344.41406,0.97111356,23.537205,6.122916622,3.138294
20170606,EV,B,,457.125,0.73410857,35.22783,8.126666667,4.697044
20170606,EV,B,,534.6367,0.40031922,55.21775,9.504652444,7.362366667
20170606,EV,B,,210.8125,0.958917,19.313208,3.747777778,2.5750944
20170606,EV,B,,554.40625,0.8493982,31.890438,9.856111111,4.2520584
20170606,EV,B,,355.96875,0.7832594,27.313,6.328333333,3.641733333
20170606,EV,B,,778.3594,0.7162176,46.010868,13.83750044,6.1347824
20170606,EV,B,,1168.5039,0.16475897,116.72617,20.77340267,15.56348933
20170606,EV,B,,607.1875,0.9503327,29.832869,10.79444444,3.977715867
20170606,EV,B,,467.3723,0.9815827,26.925823,8.308840889,3.590109733
20170606,EV,B,,251.99289,0.9893972,19.313208,4.4798736,2.5750944
20170606,EV,B,,284.38965,0.821728,26.683329,5.055816,3.5577772
20170606,EV,B,,250.17139,0.9883581,19.646883,4.447491378,2.6195844
20170606,EV,B,,322.64746,0.9738054,22.803509,5.735954844,3.040467867
20170606,EV,B,,447.90088,0.9475872,27.658634,7.962682311,3.687817867
20170606,EV,B,,849.1295,0.8364584,44.553337,15.09563556,5.940444933
20170606,EV,B,,500.67188,0.9096402,32.280025,8.900833422,4.304003333
20170606,EV,B,,710.35254,0.8421317,41.109608,12.6284896,5.481281067
20170606,EV,B,,284.5547,0.9418259,22.803509,5.058750222,3.040467867
20170606,EV,B,,377.7539,0.9141413,27.202942,6.715624889,3.627058933
20170606,EV,B,,794.5293,0.9318401,38.013157,14.12496533,5.068420933
20170606,EV,B,,402.0205,0.9363121,27.784887,7.147031111,3.7046516
20170606,EV,B,,309.23828,0.96883935,23.021729,5.497569422,3.069563867
20170606,EV,B,,260.39844,0.9850986,20.615528,4.6293056,2.748737067
20170606,EV,B,,227.84375,0.9761911,18.601076,4.050555556,2.480143467
20170606,EV,B,,536.9922,0.97265095,29.15476,9.546528,3.887301333
20170606,EV,B,,300.66406,0.98152643,21.377558,5.345138844,2.850341067
20170606,EV,B,,428.98438,0.9531482,26.925823,7.626388978,3.590109733
20170606,EV,B,,368.7578,0.95467,25.612497,6.555694222,3.4149996
20170606,EV,B,,381.97656,0.958924,25.23886,6.7906944,3.365181333
20170606,EV,B,,274.70312,0.91679615,23.70654,4.883611022,3.160872
20170606,EV,B,,624.25586,0.7277822,43.60046,11.09788196,5.813394667
20170606,EV,B,,1046.8906,0.70021045,57.31492,18.61138844,7.641989333
20170606,EV,B,,271.3828,0.96474665,21.931713,4.824583111,2.9242284
20170606,EV,B,,630.9531,0.94960195,31.622776,11.216944,4.216370133
20170606,EV,B,,338.2422,0.9106362,25.70992,6.013194667,3.427989333
20170606,EV,B,,327.41797,0.94131947,24.839485,5.820763911,3.311931333
20170606,EV,B,,210.32812,0.9830204,18.027756,3.739166578,2.4037008
20170606,EV,B,,498.48438,0.81966436,33.24154,8.861944533,4.432205333
20170606,EV,B,,412.8672,0.9842394,24.698177,7.339861333,3.293090267
20170606,EV,B,,212.76562,0.9782407,18.439089,3.782499911,2.4585452
20170606,EV,B,,468.59375,0.9504881,28.42534,8.330555556,3.790045333
20170606,EV,B,,398.3672,0.8079459,32.31099,7.082083556,4.308132
20170606,EV,B,,390.5625,0.94171077,27.202942,6.943333333,3.627058933
20170606,EV,B,,434.53125,0.7420308,33.286633,7.725,4.438217733
20170606,EV,B,,635.40625,0.96135783,31.241,11.29611111,4.165466667
20170606,EV,B,,349.58594,0.9498521,25.079872,6.214861156,3.343982933
20170606,EV,B,,68.25,0.62648267,10.770329,1.213333333,1.436043867
20170606,EV,B,,275.1875,0.9860147,20.615528,4.892222222,2.748737067
20170606,EV,B,,628.03125,0.9111405,35.17101,11.165,4.689468
20170606,EV,B,,365.5,0.97580916,24.596748,6.497777778,3.2795664
20170606,EV,B,,218.42188,0.96585405,19.646883,3.883055644,2.6195844
20170606,EV,B,,757.375,0.90119183,38.600517,13.46444444,5.1467356
20170606,EV,B,,413.4375,0.8902141,29.410883,7.35,3.921451067
20170606,EV,B,,297.46875,0.95472187,23.323807,5.288333333,3.109840933
20170606,EV,B,,263.53125,0.9846955,19.924858,4.685,2.656647733
20170606,EV,B,,327.59375,0.96677965,22.472204,5.823888889,2.996293867
20170606,EV,B,,640.875,0.9683512,32.24903,11.39333333,4.299870667
20170606,EV,B,,237.5625,0.98336536,19.646883,4.223333333,2.6195844
20170606,EV,B,,619.4844,0.9559869,32.31099,11.013056,4.308132
20170606,EV,B,,253.6211,0.9903201,19.646883,4.508819556,2.6195844
20170606,EV,B,,319.54688,0.9876965,22.472204,5.680833422,2.996293867
20170606,EV,B,,476.96875,0.96436214,28.86174,8.479444444,3.848232
20170606,EV,B,,285.83594,0.9865815,20.396078,5.081527822,2.719477067
20170606,EV,B,,390.09375,0.973868,25.298222,6.935,3.373096267
20170606,EV,B,,390.14844,0.82466745,31.622776,6.935972267,4.216370133
20170606,EV,B,,214.25,0.97221494,18.973665,3.808888889,2.529822
20170606,EV,B,,185.5,0.9944094,16.40122,3.297777778,2.186829333
20170606,EV,B,,379.625,0.9695148,25,6.748888889,3.333333333
20170606,EV,B,,566.375,0.97327405,29.15476,10.06888889,3.887301333
20170606,EV,B,,471.29688,0.98597115,25.942244,8.3786112,3.458965867
20170606,EV,B,,309.91406,0.8170505,28.301943,5.509583289,3.7735924
20170606,EV,B,,578.9844,0.9080275,31.38471,10.293056,4.184628
20170606,EV,B,,165.6914,0.97730994,16.643316,2.945624889,2.2191088
20170606,EV,B,,152.3252,0.9549203,16.643316,2.708003556,2.2191088
20170606,EV,B,,127.203125,0.9877076,13.601471,2.261388889,1.813529467
20170606,EV,B,,913.125,0.9523464,38.078865,16.23333333,5.077182
20170606,EV,B,,212.81836,0.98664457,18.027756,3.783437511,2.4037008
20170606,EV,B,,217.63916,0.9678608,18.867962,3.869140622,2.515728267
20170606,EV,B,,384.19824,0.96949124,25.495098,6.830190933,3.3993464
20170606,EV,B,,316.6953,0.9795392,22.203604,5.630138667,2.960480533
20170606,EV,B,,329.06152,0.98000926,22.561028,5.849982578,3.008137067
20170606,EV,B,,290.82812,0.9855735,21.213203,5.170277689,2.828427067
20170606,EV,B,,280.95312,0.9805426,21.540659,4.994722133,2.872087867
20170606,EV,B,,282.89844,0.9786872,20.880613,5.0293056,2.784081733
20170606,EV,B,,1150.7344,0.3629568,93.74433,20.45750044,12.499244
20170606,EV,B,,251.18257,0.9766931,20.248457,4.465467911,2.699794267
20170606,EV,B,,323.58594,0.9706891,22.472204,5.752638933,2.996293867
20170606,EV,B,,394.15625,0.9358817,27.313,7.007222222,3.641733333
20170606,EV,B,,407.18457,0.9589099,26.683329,7.2388368,3.5577772
20170606,EV,B,,368.1172,0.9657856,24.758837,6.544305778,3.301178267
20170606,EV,B,,421.20312,0.9392759,28.301943,7.488055467,3.7735924
20170606,EV,B,,366.35938,0.9341852,26.24881,6.513055644,3.499841333
20170606,EV,B,,258.92188,0.9706679,20.808653,4.603055644,2.774487067
20170606,EV,B,,302.35938,0.9845065,21.400934,5.375277867,2.853457867
20170606,EV,B,,304.46875,0.97075254,22.135944,5.412777778,2.9514592
20170606,EV,B,,297.41797,0.97603595,21.587032,5.287430578,2.878270933
20170606,EV,B,,484.6211,0.89169276,28.635643,8.615486222,3.818085733
20170606,EV,B,,440.32812,0.845903,31.780497,7.828055467,4.2373996
20170606,EV,B,,299.65625,0.9330996,24.33105,5.327222222,3.24414
20170606,EV,B,,333.78906,0.9791116,23.409399,5.934027733,3.1212532
20170606,EV,B,,429.75,0.9673242,26.925823,7.64,3.590109733
20170606,EV,B,,270.8828,0.98748523,20.59126,4.815694222,2.745501333
20170606,EV,B,,262.0625,0.9702205,20.615528,4.658888889,2.748737067
20170606,EV,B,,478.875,0.9541903,28.600698,8.513333333,3.8134264
20170606,EV,B,,360.76562,0.93654567,26.24881,6.413611022,3.499841333
20170606,EV,B,,249.09375,0.9570402,21.470911,4.428333333,2.862788133
20170606,EV,B,,262.40625,0.97091717,20.808653,4.665,2.774487067
20170606,EV,B,,391.42188,0.96707004,25.632011,6.9586112,3.417601467
20170606,EV,B,,739.90625,0.9104963,39.20459,13.15388889,5.227278667
20170606,EV,B,,252.25,0.9606869,21.633308,4.484444444,2.884441067
20170606,EV,B,,300.28125,0.9520056,23.345236,5.338333333,3.112698133
20170606,EV,B,,237.70312,0.9797419,18.973665,4.225833244,2.529822
20170606,EV,B,,436.375,0.96619314,26.476404,7.757777778,3.5301872
20170606,EV,B,,375.85938,0.9665531,26.076809,6.681944533,3.476907867
20170606,EV,B,,543.2969,0.99533904,27.730848,9.658611556,3.6974464
20170606,EV,B,,344.17188,0.94430053,24.698177,6.1186112,3.293090267
20170606,EV,B,,411.1172,0.9698682,25.806976,7.308750222,3.440930133
20170606,EV,B,,466.40625,0.92905253,29.832869,8.291666667,3.977715867
20170606,EV,B,,511.42188,0.77194095,36.67424,9.091944533,4.889898667
20170606,EV,B,,353.64062,0.9033257,26.41969,6.286944356,3.522625333
20170606,EV,B,,296.99023,0.91006726,25.632011,5.279826311,3.417601467
20170606,EV,B,,498.03125,0.98378456,27.513634,8.853888889,3.668484533
20170606,EV,B,,338.8125,0.96837896,23.600847,6.023333333,3.1467796
20170606,EV,B,,200.16406,0.9740778,18.027756,3.558472178,2.4037008
20170606,EV,B,,155.38281,0.98457867,15.811388,2.762361067,2.108185067
20170606,EV,B,,117.041016,0.9168556,15.652476,2.080729173,2.0869968
20170606,EV,B,,463.1875,0.3724932,56.859474,8.234444444,7.5812632
20170606,EV,B,,754.21875,0.5886185,54.74486,13.40833333,7.299314667
20170606,EV,B,,369.07812,0.93711597,26.076809,6.5613888,3.476907867
20170606,EV,B,,468.90625,0.9179337,30.083218,8.336111111,4.011095733
20170606,EV,B,,550.5586,0.9748064,30.016663,9.787708444,4.002221733
20170606,EV,B,,344.16797,0.9622716,25.059929,6.118541689,3.341323867
20170606,EV,B,,297.48828,0.9055167,24.41311,5.288680533,3.255081333
20170606,EV,B,,463.79297,0.83948416,33.24154,8.245208356,4.432205333
20170606,EV,B,,455.46094,0.88799316,31.06445,8.097083378,4.141926667
20170606,EV,B,,409.0703,0.8377113,31.016125,7.272360889,4.135483333
20170606,EV,B,,332.10156,0.9839672,22.561028,5.904027733,3.008137067
20170606,EV,B,,424.48438,0.93732876,28.231188,7.546388978,3.7641584
20170606,EV,B,,297.3125,0.99080944,20.808653,5.285555556,2.774487067
20170606,EV,B,,499.60938,0.87564206,34,8.881944533,4.533333333
20170606,EV,B,,306.64844,0.9805535,21.954498,5.451527822,2.9272664
20170606,EV,B,,349.1875,0.98001194,23.537205,6.207777778,3.138294
20170606,EV,B,,412.19922,0.9648518,26.683329,7.327986133,3.5577772
20170606,EV,B,,607.46875,0.9722487,31.257,10.79944444,4.1676
20170606,EV,B,,417.4922,0.9752865,25.179358,7.422083556,3.357247733
20170606,EV,B,,847.0254,0.86789644,41.868843,15.05822933,5.5825124
20170606,EV,B,,451.65625,0.89868414,29.832869,8.029444444,3.977715867
20170606,EV,B,,214.86719,0.97943586,18.384777,3.819861156,2.4513036
20170606,EV,B,,366.14062,0.92604405,26.925823,6.509166578,3.590109733
20170606,EV,B,,395.21875,0.9542688,26.24881,7.026111111,3.499841333
20170606,EV,B,,457.71875,0.9177473,30.413813,8.137222222,4.055175067
20170606,EV,B,,169.42188,0.9848584,16.643316,3.011944533,2.2191088
20170606,EV,B,,473.5,0.9700273,27.802877,8.417777778,3.707050267
20170606,EV,B,,914.53125,0.72915995,51.10773,16.25833333,6.814364
20170606,EV,B,,274.23438,0.9616606,21.540659,4.875277867,2.872087867
20170606,EV,B,,533.0625,0.9741566,28.86174,9.476666667,3.848232
20170606,EV,B,,204.47656,0.95071054,19.235384,3.635138844,2.564717867
20170606,EV,B,,326.0703,0.9709554,23.086792,5.796805333,3.078238933
20170606,EV,B,,184.84375,0.9826813,17.088007,3.286111111,2.278400933
20170606,EV,B,,244.46094,0.96445143,20.615528,4.345972267,2.748737067
20170606,EV,B,,768.4375,0.8586526,41.036568,13.66111111,5.4715424
20170606,EV,B,,386.21875,0.9543166,25.495098,6.866111111,3.3993464
20170606,EV,B,,422.91797,0.9672428,27.018513,7.518541689,3.6024684
20170606,EV,B,,216.61719,0.97606534,18.973665,3.850972267,2.529822
20170606,EV,B,,422.21094,0.95819145,27.513634,7.505972267,3.668484533
20170606,EV,B,,235.66211,0.9878645,18.681541,4.189548622,2.490872133
20170606,EV,B,,680.60547,0.95269555,35.44009,12.0996528,4.725345333
20170606,EV,B,,236.07031,0.993188,18.439089,4.196805511,2.4585452
20170606,EV,B,,336.14062,0.9940709,22.135944,5.975833244,2.9514592
20170606,EV,B,,180.7461,0.99157965,16.155495,3.213264,2.154066
20170606,EV,B,,418.71875,0.93632126,28.160255,7.443888889,3.754700667
20170606,EV,B,,196.6914,0.9661919,18.788294,3.496736,2.505105867
20170606,EV,B,,501.29688,0.85088503,33.61547,8.911944533,4.482062667
20170606,EV,B,,272.59375,0.9650395,21.095022,4.846111111,2.8126696
20170606,EV,B,,192.58594,0.9874176,17.20465,3.423750044,2.293953333
20170606,EV,B,,223.39062,0.87598705,19.416489,3.9713888,2.5888652
20170606,EV,B,,305.625,0.93098354,21.633308,5.433333333,2.884441067
20170606,EV,B,,399.59375,0.9531009,27.313,7.103888889,3.641733333
20170606,EV,B,,310.9629,0.990961,21.400934,5.528229333,2.853457867
20170606,EV,B,,187.35938,0.95844066,18.439089,3.330833422,2.4585452
20170606,EV,B,,363.4375,0.93731296,25.23886,6.461111111,3.365181333
20170606,EV,B,,228.74219,0.9601823,20.248457,4.066527822,2.699794267
20170606,EV,B,,273.64844,0.93271273,23.769728,4.864861156,3.169297067
